,预测_alt.atheism,预测_comp.graphics,预测_comp.os.ms-windows.misc,预测_comp.sys.ibm.pc.hardware,预测_comp.sys.mac.hardware,预测_comp.windows.x,预测_misc.forsale,预测_rec.autos,预测_rec.motorcycles,预测_rec.sport.baseball,预测_rec.sport.hockey,预测_sci.crypt,预测_sci.electronics,预测_sci.med,预测_sci.space,预测_soc.religion.christian,预测_talk.politics.guns,预测_talk.politics.mideast,预测_talk.politics.misc,预测_talk.religion.misc
真实_alt.atheism,220,1,0,0,0,0,0,2,2,2,1,0,0,2,0,18,2,6,5,39
真实_comp.graphics,0,243,9,9,10,10,6,4,1,2,1,2,2,1,0,0,0,0,0,0
真实_comp.os.ms-windows.misc,1,8,250,14,7,11,0,0,2,2,0,1,1,1,0,1,0,0,0,1
真实_comp.sys.ibm.pc.hardware,3,8,11,236,15,3,8,2,1,0,0,1,7,2,2,0,0,0,0,1
真实_comp.sys.mac.hardware,1,9,3,19,239,1,6,4,1,3,0,0,10,0,3,0,1,0,0,0
真实_comp.windows.x,1,25,8,3,1,253,1,2,1,1,0,1,0,0,1,1,0,0,1,0
真实_misc.forsale,1,3,1,7,1,0,257,9,4,5,2,1,4,1,1,1,0,0,2,0
真实_rec.autos,1,3,0,1,0,0,2,266,14,1,3,0,3,1,0,1,2,0,2,0
真实_rec.motorcycles,1,3,0,0,2,1,1,17,269,1,1,2,0,0,0,2,0,0,0,0
真实_rec.sport.baseball,0,3,0,0,1,0,3,4,3,271,10,0,0,1,0,0,3,0,1,0
真实_rec.sport.hockey,0,0,0,0,2,1,0,2,4,13,275,0,1,0,0,1,0,0,1,0
真实_sci.crypt,1,5,1,0,1,1,2,0,1,0,1,277,4,0,0,1,5,0,0,0
真实_sci.electronics,0,10,3,8,6,2,9,6,1,0,1,1,248,0,4,0,0,1,0,0
真实_sci.med,1,8,1,0,0,0,0,2,2,1,1,0,5,271,2,1,1,0,3,1
真实_sci.space,3,4,0,0,1,2,1,2,2,2,1,0,4,9,263,1,1,0,4,0
真实_soc.religion.christian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0
真实_talk.politics.guns,0,0,0,1,1,0,0,1,2,1,0,1,0,0,1,1,269,0,19,3
真实_talk.politics.mideast,4,0,0,2,0,1,0,0,2,1,0,0,1,0,0,5,1,269,11,3
真实_talk.politics.misc,4,2,0,0,1,0,0,1,1,1,2,0,1,2,1,1,26,16,215,26
真实_talk.religion.misc,69,0,0,0,1,0,0,0,0,0,2,0,0,3,1,35,22,0,28,139
